Country	changeGDP	changeCO2	ISO
Australia	0.356500193	0.170904148	AUS
Austria	0.177552237	0.073144914	AUT
Belgium	0.158075767	-0.107396891	BEL
Canada	0.216524365	0.011083404	CAN
Switzerland	0.191878444	-0.024533705	CHE
Chile	0.505756191	0.320534432	CHL
Czech Rep.	0.39606581	-0.048051948	CZE
Germany	0.102357738	-0.09684672	DEU
Denmark	0.070859292	-0.14112801	DNK
Spain	0.23171292	-0.020456634	ESP
Estonia	0.459378943	0.175824176	EST
Finland	0.196232336	0.011398	FIN
France	0.122554307	-0.098154267	FRA
United Kingdom	0.192684825	-0.118869061	GBR
Greece	0.216043866	0.002291796	GRC
Hungary	0.218585245	-0.134626901	HUN
Ireland	0.332666074	-0.085965905	IRL
Iceland	0.270859011	-0.070063694	ISL
Israel	0.417136218	0.225770654	ISR
Italy	0.038046888	-0.077230245	ITA
Japan	0.06750936	-0.024351619	JPN
Korea	0.511878571	0.3079505	KOR
Luxembourg	0.324351352	0.289221806	LUX
Mexico	0.195044989	0.209223597	MEX
Netherlands	0.148203904	0.036196827	NLD
Norway	0.165327505	0.074779508	NOR
New Zealand	0.284233298	-0.010697475	NZL
Poland	0.48189054	0.010707414	POL
Portugal	0.06500565	-0.162713765	PRT
Slovak Rep.	0.579734956	-0.105841325	SVK
Slovenia	0.306841175	0.050792921	SVN
Sweden	0.23852237	-0.17315055	SWE
Turkey	0.52485302	0.443126608	TUR
United States	0.173910949	-0.058061508	USA
OECD	0.180938833	-0.018650278	OECD
